EmployeeID,Full_Name,Age,Gender,Department,Job_Title,Education,Hire_Date,Salary,Years_At_Company,Job_Satisfaction,Performance_Rating,Monthly_Hours,Attrition,Region,Payment_Method,Email
EMP00001,Employee_1,59,Female,Marketing,Analyst,Bachelor,2021-01-11,25000.0,7.0,5.0,4.0,60.0,No,Europe,Direct Deposit,employee_1@company.com
EMP00002,Employee_2,41,Male,IT,Director,Master,2022-06-17,25000.0,12.0,2.0,1.0,47.0,No,North America,Cash,employee_2@company.com
EMP00003,Employee_3,35,Male,Legal,Manager,Bachelor,2023-07-07,90443.0,15.0,3.0,2.0,68.0,No,Asia Pacific,Cash,employee_3@company.com
EMP00004,Employee_4,28,Female,Engineering,Associate,High School,2013-02-24,25000.0,11.0,5.0,5.0,53.0,No,Asia Pacific,Direct Deposit,employee_4@company.com
EMP00005,Employee_5,41,Female,Finance,Director,Associate,2013-10-17,76538.0,16.0,5.0,2.0,42.0,No,Middle East,Direct Deposit,employee_5@company.com
EMP00006,Employee_6,59,Female,Operations,Senior Manager,Master,2020-04-19,57637.0,17.0,3.0,4.0,63.0,No,Asia Pacific,Cash,employee_6@company.com
EMP00007,Employee_7,39,Female,Engineering,Manager,Bachelor,2015-05-05,42475.0,7.0,4.0,3.0,77.0,No,Latin America,Direct Deposit,employee_7@company.com
EMP00008,Employee_8,43,Male,IT,Manager,Bachelor,2015-05-03,54333.0,17.0,1.0,3.0,74.0,No,Middle East,Wire Transfer,employee_8@company.com
EMP00009,Employee_9,31,Male,Operations,Lead,High School,2015-05-05,32773.0,10.0,4.0,4.0,50.0,No,Asia Pacific,Wire Transfer,employee_9@company.com
EMP00010,Employee_10,41,Female,Engineering,Manager,Master,2023-12-17,25000.0,12.0,4.0,2.0,62.0,Yes,Europe,Cash,employee_10@company.com
EMP00011,Employee_11,44,Female,Sales,Senior Analyst,Bachelor,2015-05-05,65435.0,11.0,2.0,1.0,64.0,No,Europe,Direct Deposit,employee_11@company.com
EMP00012,Employee_12,56,Female,Legal,Intern,Associate,2015-05-05,54594.0,14.0,4.0,5.0,57.0,Yes,Asia Pacific,Direct Deposit,employee_12@company.com
EMP00013,Employee_13,41,Male,Finance,Senior Analyst,Associate,2014-10-08,25000.0,24.0,1.0,3.0,63.0,No,Europe,Cash,employee_13@company.com
EMP00014,Employee_14,44,Female,Operations,Analyst,PhD,2015-05-05,25000.0,2.0,5.0,5.0,54.0,No,Asia Pacific,Direct Deposit,employee_14@company.com
EMP00015,Employee_15,23,Female,Engineering,VP,High School,2018-12-16,106489.0,2.0,4.0,1.0,51.0,Yes,Asia Pacific,Wire Transfer,employee_15@company.com
EMP00016,Employee_16,42,Female,Engineering,Intern,Master,2014-01-21,58345.0,5.0,5.0,5.0,60.0,No,Asia Pacific,Direct Deposit,employee_16@company.com
EMP00017,Employee_17,22,Female,Legal,Associate,High School,2017-02-25,85500.0,2.0,2.0,4.0,73.0,No,Latin America,Cash,employee_17@company.com
EMP00018,Employee_18,44,Female,IT,Analyst,Master,2013-01-02,40846.0,8.0,1.0,1.0,67.0,Yes,Middle East,Wire Transfer,employee_18@company.com
EMP00019,Employee_19,50,Female,IT,VP,High School,2011-08-05,25000.0,10.0,3.0,1.0,48.0,Yes,Latin America,Wire Transfer,employee_19@company.com
EMP00020,Employee_20,41,Male,Operations,Consultant,Bachelor,2017-06-19,25000.0,7.0,3.0,5.0,65.0,No,Latin America,Wire Transfer,employee_20@company.com
EMP00021,Employee_21,22,Male,IT,Lead,High School,2015-05-05,59162.0,3.0,2.0,5.0,50.0,No,Middle East,Cash,employee_21@company.com
EMP00022,Employee_22,41,Male,Engineering,Associate,Master,2015-05-05,93237.0,21.0,1.0,3.0,55.0,No,North America,Wire Transfer,employee_22@company.com
EMP00023,Employee_23,53,Male,Engineering,Associate,High School,2017-01-15,25000.0,23.0,5.0,5.0,69.0,Yes,Latin America,Check,employee_23@company.com
EMP00024,Employee_24,32,Female,Legal,Associate,High School,2015-05-05,25000.0,19.0,2.0,1.0,53.0,Yes,Asia Pacific,Check,employee_24@company.com
EMP00025,Employee_25,42,Female,HR,VP,PhD,2015-05-05,25000.0,14.0,4.0,5.0,40.0,Yes,Latin America,Cash,employee_25@company.com
EMP00026,Employee_26,45,Male,Sales,Intern,Master,2013-02-28,25000.0,4.0,5.0,3.0,57.0,No,North America,Check,employee_26@company.com
EMP00027,Employee_27,47,Female,Engineering,Director,Master,2021-01-30,76113.0,6.0,4.0,2.0,60.0,No,Asia Pacific,Wire Transfer,employee_27@company.com
EMP00028,Employee_28,48,Male,HR,Associate,Bachelor,2022-10-11,86572.0,7.0,4.0,4.0,43.0,Yes,Europe,Check,employee_28@company.com
EMP00029,Employee_29,36,Male,Marketing,Senior Manager,High School,2015-05-05,25000.0,6.0,5.0,1.0,47.0,Yes,North America,Wire Transfer,Unknown
EMP00030,Employee_30,35,Female,Legal,Consultant,High School,2015-05-05,25000.0,7.0,4.0,4.0,78.0,No,Asia Pacific,Check,Unknown
EMP00031,Employee_31,23,Male,Operations,Analyst,Associate,2015-05-05,25000.0,3.0,3.0,4.0,49.0,No,Asia Pacific,Check,employee_31@company.com
EMP00032,Employee_32,57,Male,Legal,Analyst,High School,2016-12-29,25000.0,0.0,5.0,5.0,66.0,No,Europe,Direct Deposit,employee_32@company.com
EMP00033,Employee_33,27,Female,Legal,Manager,PhD,2013-10-15,41100.0,21.0,5.0,5.0,73.0,Yes,Europe,Direct Deposit,employee_33@company.com
EMP00034,Employee_34,41,Female,Operations,Associate,High School,2019-07-11,45178.0,4.0,3.0,2.0,78.0,Yes,Asia Pacific,Check,employee_34@company.com
EMP00035,Employee_35,29,Female,Finance,Manager,Bachelor,2015-05-05,53399.0,10.0,2.0,5.0,51.0,Yes,North America,Wire Transfer,employee_35@company.com
EMP00036,Employee_36,59,Female,Engineering,Consultant,Associate,2023-10-08,121235.0,3.0,1.0,4.0,79.0,No,Asia Pacific,Wire Transfer,employee_36@company.com
EMP00037,Employee_37,38,Female,HR,Intern,Bachelor,2015-05-05,25000.0,1.0,2.0,3.0,63.0,No,Middle East,Check,employee_37@company.com
EMP00038,Employee_38,24,Female,Operations,Senior Manager,Associate,2023-05-05,105315.0,16.0,5.0,2.0,74.0,Yes,Middle East,Cash,employee_38@company.com
EMP00039,Employee_39,45,Male,HR,Senior Manager,Associate,2015-05-05,25000.0,24.0,2.0,4.0,57.0,Yes,Middle East,Wire Transfer,employee_39@company.com
EMP00040,Employee_40,34,Male,Legal,Lead,Master,2012-08-02,33268.0,11.0,1.0,3.0,68.0,Yes,Asia Pacific,Wire Transfer,employee_40@company.com
EMP00041,Employee_41,29,Male,IT,Director,Bachelor,2021-04-03,25000.0,1.0,4.0,4.0,59.0,No,North America,Wire Transfer,employee_41@company.com
EMP00042,Employee_42,46,Male,Sales,Associate,Bachelor,2015-05-05,25000.0,8.0,5.0,5.0,46.0,No,Europe,Wire Transfer,employee_42@company.com
EMP00043,Employee_43,22,Male,Operations,Senior Manager,Master,2015-05-05,48208.0,5.0,3.0,4.0,79.0,Yes,Latin America,Cash,employee_43@company.com
EMP00044,Employee_44,40,Female,HR,Manager,Master,2013-03-16,116384.0,5.0,3.0,2.0,49.0,No,Latin America,Check,employee_44@company.com
EMP00045,Employee_45,48,Male,Legal,Senior Manager,High School,2015-05-05,40913.0,17.0,2.0,4.0,77.0,Yes,Asia Pacific,Wire Transfer,employee_45@company.com
EMP00046,Employee_46,27,Female,Legal,Director,Master,2018-10-11,25000.0,21.0,3.0,1.0,58.0,Yes,Asia Pacific,Wire Transfer,employee_46@company.com
EMP00047,Employee_47,28,Male,Marketing,VP,High School,2022-07-24,66187.0,2.0,1.0,5.0,43.0,No,Asia Pacific,Cash,employee_47@company.com
EMP00048,Employee_48,55,Female,Finance,Director,High School,2013-03-03,25000.0,14.0,3.0,4.0,74.0,No,Latin America,Wire Transfer,employee_48@company.com
EMP00049,Employee_49,34,Female,Engineering,Analyst,High School,2015-05-05,95931.0,6.0,2.0,3.0,54.0,No,Latin America,Wire Transfer,employee_49@company.com
EMP00050,Employee_50,37,Female,Finance,Director,PhD,2015-05-05,42629.0,0.0,3.0,5.0,59.0,Yes,Middle East,Check,employee_50@company.com
EMP00051,Employee_51,56,Male,Operations,Intern,Master,2015-05-05,37619.0,9.0,4.0,3.0,58.0,Yes,North America,Wire Transfer,employee_51@company.com
EMP00052,Employee_52,60,Female,Sales,Associate,High School,2023-01-27,25000.0,3.0,4.0,2.0,60.0,No,Asia Pacific,Check,employee_52@company.com
EMP00053,Employee_53,24,Male,Engineering,VP,PhD,2010-04-01,54889.0,15.0,5.0,1.0,48.0,Yes,Latin America,Check,employee_53@company.com
EMP00054,Employee_54,22,Male,IT,Analyst,Master,2015-05-05,71309.0,8.0,5.0,4.0,57.0,Yes,Middle East,Direct Deposit,employee_54@company.com
EMP00055,Employee_55,26,Female,Engineering,Manager,PhD,2021-04-01,78038.0,20.0,3.0,5.0,63.0,No,North America,Cash,employee_55@company.com
EMP00056,Employee_56,24,Male,Operations,Analyst,High School,2014-11-02,59568.0,9.0,4.0,4.0,42.0,Yes,Middle East,Wire Transfer,employee_56@company.com
EMP00057,Employee_57,49,Male,Legal,Senior Analyst,PhD,2015-05-05,25000.0,18.0,4.0,4.0,51.0,No,Europe,Wire Transfer,employee_57@company.com
EMP00058,Employee_58,38,Female,IT,Lead,PhD,2015-05-05,83263.0,16.0,1.0,5.0,77.0,No,Middle East,Direct Deposit,employee_58@company.com
EMP00059,Employee_59,46,Female,HR,Intern,High School,2015-05-05,47665.0,0.0,2.0,1.0,56.0,Yes,North America,Wire Transfer,employee_59@company.com
EMP00060,Employee_60,54,Female,Operations,Director,Bachelor,2020-06-10,25000.0,0.0,1.0,1.0,52.0,No,North America,Direct Deposit,employee_60@company.com
EMP00061,Employee_61,30,Male,Legal,Senior Analyst,Master,2017-03-04,68567.0,3.0,5.0,2.0,61.0,No,Latin America,Direct Deposit,employee_61@company.com
EMP00062,Employee_62,56,Female,Operations,Associate,Associate,2018-04-20,25000.0,14.0,2.0,5.0,36.0,Yes,North America,Direct Deposit,employee_62@company.com
EMP00063,Employee_63,34,Male,Sales,Intern,PhD,2015-05-05,74772.0,9.0,3.0,4.0,35.0,Yes,North America,Direct Deposit,employee_63@company.com
EMP00064,Employee_64,51,Female,Sales,Director,PhD,2018-08-31,69894.0,19.0,3.0,3.0,75.0,Yes,North America,Check,employee_64@company.com
EMP00065,Employee_65,35,Female,HR,Senior Analyst,Bachelor,2010-08-21,25000.0,8.0,5.0,3.0,42.0,Yes,Asia Pacific,Cash,Unknown
EMP00066,Employee_66,28,Male,Engineering,Analyst,PhD,2014-08-19,52490.0,7.0,4.0,3.0,55.0,Yes,North America,Check,employee_66@company.com
EMP00067,Employee_67,34,Male,HR,VP,PhD,2013-10-04,98121.0,19.0,3.0,1.0,58.0,Yes,North America,Cash,employee_67@company.com
EMP00068,Employee_68,41,Female,Operations,Director,PhD,2014-04-28,78241.0,5.0,1.0,2.0,57.0,Yes,Asia Pacific,Direct Deposit,employee_68@company.com
EMP00069,Employee_69,60,Female,Finance,Analyst,High School,2010-02-06,25000.0,22.0,4.0,2.0,78.0,Yes,Asia Pacific,Cash,employee_69@company.com
EMP00070,Employee_70,41,Female,Sales,Director,High School,2015-05-05,110417.0,9.0,3.0,4.0,72.0,Yes,Middle East,Wire Transfer,employee_70@company.com
EMP00071,Employee_71,36,Female,Sales,Senior Analyst,High School,2015-08-06,67380.0,23.0,4.0,2.0,62.0,Yes,Europe,Wire Transfer,employee_71@company.com
EMP00072,Employee_72,38,Male,Operations,Manager,High School,2021-06-01,52041.0,19.0,2.0,3.0,68.0,No,North America,Wire Transfer,employee_72@company.com
EMP00073,Employee_73,44,Female,Legal,VP,PhD,2015-05-05,68096.0,16.0,3.0,5.0,46.0,Yes,Asia Pacific,Direct Deposit,employee_73@company.com
EMP00074,Employee_74,46,Male,HR,Analyst,Associate,2015-12-19,51526.0,4.0,3.0,4.0,39.0,No,Asia Pacific,Cash,employee_74@company.com
EMP00075,Employee_75,45,Female,Finance,Lead,PhD,2020-02-13,25000.0,13.0,4.0,1.0,79.0,No,North America,Direct Deposit,employee_75@company.com
